Passenger_Id,Train_no,Journey_date,Class,Seat_no,Price
100020,11149,15-Apr-20,3AC,3,1398
100016,11176,15-May-20,3AC,6,1235
100018,11113,15-Jan-20,3AC,3,1899
100013,11157,20-May-20,3AC,1,1389
100012,11118,1-Jun-20,3AC,4,1214
100014,11150,7-Jun-20,3AC,5,1417
100018,11146,10-Jan-20,3AC,5,1069
100019,11115,13-Jan-20,3AC,6,1109
100018,11112,25-Jan-20,3AC,1,1255
100012,11128,28-Jan-20,3AC,4,1899
100018,11149,23-Feb-20,3AC,1,1255
100018,11128,2-Apr-20,3AC,6,1381
100019,11117,23-Apr-20,3AC,3,1398
100014,11140,31-May-20,3AC,6,1235
100002,11118,2-May-20,SL,3,1899
100002,11127,26-Apr-20,SL,1,826
100007,11127,16-May-20,SL,2,731
100007,11118,11-Jun-20,SL,6,798
100008,11116,12-Feb-20,SL,5,701
100011,11115,13-Jan-20,SL,4,926
100012,11116,1-Feb-20,SL,3,901
100013,11114,2-Feb-20,SL,1,629
100015,11118,8-Jan-20,SL,2,686
100015,11125,20-Apr-20,SL,5,996
100018,11125,21-Jan-20,SL,2,693
100018,11124,13-Feb-20,SL,2,703
100019,11136,2-Jun-20,SL,6,528
100019,11130,22-May-20,SL,4,522
100020,11128,22-Mar-20,SL,6,512
100016,11168,5-Jan-20,SL,1,826
100017,11175,2-Apr-20,SL,2,731
100017,11154,15-Apr-20,SL,6,798
100011,11136,14-May-20,SL,5,701
100017,11113,22-May-20,SL,4,926
100011,11112,21-Jun-20,SL,3,901
100019,11143,12-Jan-20,SL,1,629
100018,11119,3-Feb-20,SL,2,686
100017,11171,11-Feb-20,SL,5,996
100014,11120,18-Feb-20,SL,2,693
100018,11171,28-Feb-20,SL,2,703
100012,11119,5-Mar-20,SL,6,528
100020,11135,7-Apr-20,SL,4,522
100013,11141,7-May-20,SL,6,512
100017,11175,23-May-20,SL,1,826
100019,11151,20-Jun-20,SL,2,731
100020,11140,21-Jan-20,SL,6,798
100015,11175,10-Feb-20,SL,5,701
100020,11118,21-Feb-20,SL,4,926
100019,11137,15-Mar-20,SL,3,901
100011,11120,23-Mar-20,SL,1,629
100019,11114,30-Apr-20,SL,2,686
100015,11168,4-Jun-20,SL,5,996
100017,11124,22-Jun-20,SL,2,693
100012,11161,1-Jan-20,SL,2,703
100018,11151,2-Jan-20,SL,6,528
100018,11114,5-Feb-20,SL,4,522
100019,11119,6-Feb-20,SL,6,512
100016,11122,14-Feb-20,SL,1,826
100017,11121,15-Mar-20,SL,2,731
100017,11158,29-Jun-20,SL,6,798
